Created-At,From-User,Text,Retweet-Count,Id
12/24/2020 5:14:00 PM,nosignal,"@Gaknyerah____ Sekarang? 
Terdepan untuk memberikan bencana COVID 19 makin menyebar dengan klaster baru karena menjemput imam BESAR nya yang pulang untuk cari kitab suci dan merusak fasilitas umum di bandara serta mengadakan hajatan yang melebihi kapasitas psbb?
Amazing yahh",0,1342050918146050000
12/24/2020 4:51:00 PM,M. Iqbal A.R,"RT @merapi_uncover: Dulu Dikala awal2 status Merapi siaga, Masy rentan KRB 3 byk yg mengungsi
Kini beberapa Bulan Status Merapi siaga, peng…",14,1342045157932210000
12/24/2020 4:49:00 PM,Media Indonesia,"'Saya telah meminta Pemprov untuk mengawasi penerapan protokol kesehatan yang ketat diberbagai tempat umum mulai dari pemukiman warga yang padat, pasar tradisional, pedagang kaki lima.'  https://t.co/9IwuDMXdk2",0,1342044701155680000
12/24/2020 1:35:00 PM,??Annisa?????,@parkjihoonney Dan ya idol km jelas salah tapi emang bagusnya dia udah minta maaf. Dan klo pun liat qrt army pada ngomongin soal double standard kok. Apalagi kenyataan 97l pada keluar seminggu sebelum ada kasus covid d daerah itu Dan Korea gak psbb,0,1341995869898330000
12/24/2020 1:27:00 PM,Spark San?,"RT @MS_Didu: Stlh panggilan I saya tdk hadir krn pertimbangan PSBB dan panggilan II kami mohon utk diperiksa di rumah, atas jaminan penyidi…",1005,1341993904262930000
12/24/2020 12:25:00 PM,Polsek Pancoran,Bhabinkamtibmas Kel. Pengadegan Polsek Pancoran Aiptu Jhonny E. bersama komunitas Petugas PSBB memberikan peringatan persuasif Protokol Kesehatan 4M kepada warga di wilayah Kel. pengadegan Kec. Pancoran Jaksel guna memutus rantai penyebaran Covid 19. https://t.co/CnvtGP0cdr,0,1341978377297660000
12/24/2020 10:34:00 AM,Satpol PP DKI Jakarta,"RT @JerukKelurahan: Kegiatan Ronda Covid-19 PSBB di Lingkungan Rw 005 Kelurahan Kebon Jeruk Jakarta Barat.
https://t.co/5idgho22oJ

@aniesb…",1,1341950279558820000
12/24/2020 10:25:00 AM,KelurahanKebonJeruk,"Kegiatan Ronda Covid-19 PSBB di Lingkungan Rw 005 Kelurahan Kebon Jeruk Jakarta Barat.
https://t.co/5idgho22oJ

@aniesbaswedan 
@BangAriza 
@BeritaJakarta 
@DKIJakarta 
@kominfotikjb
@KecKebonJeruk 
@LAPOR1708 
@JSCLounge 
@SatpolPP_DKI 
@infojkt 
@jktinformasi https://t.co/FyWJQu2ZxL",1,1341947996016050000
12/24/2020 9:56:00 AM,nordlig støj,"RT @northerncsl: Padahal Kebijakan, penanganan covid DIY masih sangat jauh dari standar yang ditetapkan. Entah nunggu kluster, imported cas…",5,1341940728973260000
12/24/2020 8:28:00 AM,indopos.co.id,"Peneliti Lembaga Riset Institute for Demographic and Poverty Studies (IDEAS), Fajri Azhari mengatakan bahwa kebijakan intervensi kesehatan yang kuat mampu mengendalikan penyebaran Covid-19 di Indonesia.
#PSBBJakarta 

https://t.co/9wwqm5wyMJ",0,1341918575179620000
12/24/2020 7:20:00 AM,Mh. febriansah,"2020
- Banjir jabodetabek ?
- Kobe Bryant ?
- Covid-19 ?
- PSBB ?
- Glenn Fredly ?
- Didi Kempot ?
- Omnibus law ?
- Riziek Balik ??
- Edhy prabowo ??
- Mensos Juliari ??
- Terawan diganti ??
- Sandi Uno ?
- Tri Risma ?
- Lesti Kejora memutuskan memasang kawat gigi, Fuck",0,1341901505201230000
12/24/2020 7:20:00 AM,dimasnugraha,Beda PSBB dan PSBM dalam Pengendalian Covid-19 https://t.co/bDLp9xKAiB,0,1341901437463390000
12/24/2020 6:47:00 AM,SitiNurHasanah,@moment0remember @_aksygkm @AREAJULID kesel banget lek ingat2 masalah covid. pas psbb kemaren dibanding2in sama malang. sekarang noh liat malang malah zona hitam.,0,1341893209186660000
12/24/2020 6:43:00 AM,Tiga Pilar News,"Pertambahan Kasus Positif Covid-19 Belum Tunjukkan Tanda-tanda Penurunan, DKI Perpanjang PSBB Transisi Hingga 3 Januari https://t.co/AQkcSm7dIN",0,1341892305825850000
12/24/2020 5:36:00 AM,Ripduro,"@PrasetyoEdi_ @PDI_Perjuangan @DKIJakarta Mas Pras, PSBB DKI harus ada action yg jelas berani, aku usul nich, kita tau dlm seminggu ada weekdays dan 2-hari weekend gmn kalo di DKI diterapkan lockdown total sabtu-minggu (weekend) spt NYEPI di Bali
Pelanggar harus ditindak.
Insya Allah Angka Covid DKI akan menurun drastis.",0,1341875333193030000
12/24/2020 3:25:00 AM,Albert Solo,"RT @AlbertSolo2: Hari ini adalah hari pertama pemberlakuan PSBB ketat di Jakarta, setelah pemprov DKI mendapatkan perintah langsung dari ke…",1,1341842347223450000
12/24/2020 3:22:00 AM,Albert Solo,"Hari ini adalah hari pertama pemberlakuan PSBB ketat di Jakarta, setelah pemprov DKI mendapatkan perintah langsung dari ketua tim penanganan Covid-19 nasional Luhut Panjaitan, yang salah satu perintah mantan danjen kopassus tersebut adalah penutupan toko di mall lebih awal",1,1341841603682430000
12/24/2020 1:02:00 AM,Kean Santang,RT @republikaonline: IDEAS menyebutkan kebijakan rem darurat atau PSBB tekan laju penularan Covid-19 https://t.co/AX6aLKNmHm,2,1341806392492000000
12/24/2020 12:57:00 AM,Republika.co.id,IDEAS menyebutkan kebijakan rem darurat atau PSBB tekan laju penularan Covid-19 https://t.co/AX6aLKNmHm,2,1341805204434370000
12/24/2020 12:29:00 AM,Media Indonesia,"Meskipun PSBB sudah berakhir dan pemerintah menerapkan new normal atau adaptasi kebiasaan baru, masyarakat diimbau untuk tetap menerapkan protokol kesehatan.  https://t.co/fLs8hAAOu4",0,1341798053645190000
12/23/2020 11:59:00 PM,detikcom,Pemkot Makassar akan menindak tegas pelanggar protokol kesehatan COVID-19. PSBB juga dipertimbangkan untuk diterapkan kembali. https://t.co/y1UWoicC5p,0,1341790430489400000
12/23/2020 11:04:00 PM,DISKOMINFOSANTIK KABUPATEN BEKASI,"'Masyarakat yang berdomisili atau yang bertempat tinggal atau melakukan aktivitas di wilayah Bodebek wajib mematuhi ketentuan pemberlakuan PSBB Proporsional sesuai peraturan perundang-undangan dan secara konsisten menerapkan protokol kesehatan Covid-19,'.",0,1341776710690170000
12/23/2020 9:41:00 PM,IG: Merapi Uncover,"Dulu Dikala awal2 status Merapi siaga, Masy rentan KRB 3 byk yg mengungsi
Kini beberapa Bulan Status Merapi siaga, pengungsi byk yg pulang

Dulu dikala Covid 19 jauh, PSSB Ketat
Kini Covid 19 dekat, PSBB Longgar

Dulu yg pernah di Hati , kini beralih profesi jadi penonton story'",14,1341755700691680000
12/23/2020 9:15:00 PM,Sonny RS ??,"RT @Kel_KarKun: Satgas Covid-19 Kelurahan Karet Kuningan melaksanakan giat monitoring PSBB dan Operasi Tertib Masker Jl. Anggrek IV RW 02
R…",1,1341749239936740000
12/23/2020 8:46:00 PM,?LaskarDagelan?,"@SintaElvhee2_ Covid lanjuttt ?
PSBB lanjuuett ??? https://t.co/xWuTYL0FEy",0,1341741864970420000
12/23/2020 7:57:00 PM,Kelurahan Karet Kuningan,"Satgas Covid-19 Kelurahan Karet Kuningan melaksanakan giat monitoring PSBB dan Operasi Tertib Masker Jl. Anggrek IV RW 02
Rabu, 23 Desember 2020
Pandemi Covid-19 belum berakhir,yuk tetap disiplin melakukan 3M:
1. Memakai Masker
2. Mencuci Tangan pakai Sabun
3. Menjaga Jarak https://t.co/xNrQMNUXdn",1,1341729665694590000
12/23/2020 7:26:00 PM,LIPUTAN4.COM,"Penularan Covid-19 Kian Masif, Pemkot Makassar Kembali Terapkan PSBB? https://t.co/NHf8Oum5dh",0,1341721736170100000
12/23/2020 7:14:00 PM,dinaituakulo,"@Indonesianews15 Pantesannn..inkubasi di perpanjang kayak psbb dki..udah 22 hari masih positif covid wan bacot
Setres dia kak emaaaaaaaa
?????",0,1341718849314410000
12/23/2020 5:59:00 PM,Aldyi Ramadhan,@joyobadik_ Woalah psbb.. yoo itu bis bis pariwisata mbok dihadang tom suruh pulang.. bikin ga selesai” covid,0,1341700059201560000
12/23/2020 5:35:00 PM,Dharma212,RT @PDemokrat: Ketua Komisi bidang Pemerintahan DPRD DKI Jakarta @RAMujiyono menyarankan Pemerintah DKI untuk segera menarik rem darurat me…,2,1341694002706350000
12/23/2020 3:59:00 PM,DKI Jakarta,"#RS Rujukan Covid-19 di Jakarta Hampir Penuh, Epidemiolog: Batasi Mobilitas Orang, Bukan PSBB - https://t.co/qToxxSpDyI - Megapolitan https://t.co/qToxxSpDyI #DKIJakarta",0,1341669675512560000
12/23/2020 3:59:00 PM,DKI Jakarta,#PSBB Transisi di Jakarta Dianggap Tak Efektif Seiring Meroketnya Kasus Covid-19 - https://t.co/qToxxSpDyI - Megapolitan https://t.co/qToxxSpDyI #DKIJakarta,0,1341669666125740000
12/23/2020 2:47:00 PM,Partai Demokrat,"Ketua Komisi bidang Pemerintahan DPRD DKI Jakarta @RAMujiyono menyarankan Pemerintah DKI untuk segera menarik rem darurat memperketat Pembatasan Sosial Berskala Besar atau PSBB, sebelum semua indikator penularan Covid-19 lebih kritis lagi.

https://t.co/FBJs9N4OOf",2,1341651563920550000
12/23/2020 12:52:00 PM,1/2,"giliran mahasiswa mulai rencana masuk kampus, kalkulasi covid & pemberlakuan psbb pada gerombolan nongolnye. Wah, coronces menang banyak neh kemaren",0,1341622772670160000
12/23/2020 12:44:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM…,1,1341620586657640000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT OPS YUSTISI OLEH TIM PEMBURU COVID-19 BERSAMA UNSUR TIGA PILAR DIMASA PSBB DALAM RANGKA MEMUTUS MATA RANTAI PENULAR…,1,1341620540776180000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT OPS YUSTISI OLEH TIM PEMBURU COVID-19 BERSAMA UNSUR TIGA PILAR  DIMASA PSBB DALAM RANGKA MEMUTUS MATA RANTAI PENULA…,1,1341620437713710000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19 DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SI DIDAMPINGI PA PENGENDALI IPDA WAHYU WIBOWO SH KANI…,1,1341620381178760000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH DIDAMPINGI PA PENGENDALI IPDA WAHYU WIBOWO SH KAN…,1,1341620319618880000
12/23/2020 12:42:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH DIDAMPINGI MATRA 201 IPDA WAHYU WIBOWO SH KANIT I…,1,1341620218016110000
12/23/2020 12:42:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM POLSEK MATRAMAN MENDAMPINGI WAKAPOLSEK MATRAMAN AKP SUMARDI SH BE…,1,1341620078010250000
