Created-At,From-User,Source,Text,Retweet-Count,Id
12/25/2020 5:50:00 AM,CNN Indonesia,<a href='http://www.detik.com/' rel='nofollow'>detikcommunity</a>,Peneliti Sebut PSBB Terbukti Turunkan 23 Persen Kasus Corona https://t.co/cVawGMkXAW,6,1342241196920330000
12/21/2020 8:45:00 AM,CNN Indonesia,<a href='http://www.detik.com/' rel='nofollow'>detikcommunity</a>,Anies Perpanjang PSBB Transisi Jakarta Hingga 3 Januari 2021 https://t.co/42OWWTCLGp,59,1340835717581220000
12/21/2020 6:57:00 AM,TMC Polda Metro Jaya,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"06.58 Selama Masa PSBB Transisi, kebijakan Ganjil-Genap ( GAGE ) tidak diberlakukan di Wilayah Hukum DKI Jakarta. https://t.co/bRd0xKspVu",18,1340808687250600000
12/25/2020 10:01:00 AM,? FGARIAAAFFC ?,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@tubirfess Gw juga ga setuju ada pilkada dan jg menyayangkan aturan rapid segala macem baru ada pas detik2 liburan. Tp jangan ngotot semua salah dibalikin ke pembuat kebijakan. Waktu PSBB jkt pertama dulu aja yg ngelanggar masih super banyak, bahkan pake segala cara biar bs nerobos jkt",0,1342304516486490000
12/25/2020 9:59:00 AM,linor ? just let me graduate already,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @RodriChen: Ini. Bahasa spt ini yg membuat antipati & pesimistis dgn penanganan COVID-19 oleh pemerintah. Alih² dorong 3T, KHUSUSNY TRAC…",2,1342303825600730000
12/25/2020 9:53:00 AM,Rodri Tanoto (???),<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Ini. Bahasa spt ini yg membuat antipati & pesimistis dgn penanganan COVID-19 oleh pemerintah. Alih² dorong 3T, KHUSUSNY TRACING, buat PSBB ketat didukung Bansos layak, siapkan vaksinasi berorientasi kesmas, BUKAN ekonomi, masyarakat disalahkan.
Gini aja terus, mumpung gbs didemo. https://t.co/jdffkKaAhs",2,1342302477761170000
12/25/2020 9:52:00 AM,Wex58,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @QaillaAsyiqah: Masya'Allah Tabarakallah..
Keluarga Besar Marga Siregar (PSBB) Jabodetabek memberikan bantuan untuk keluarga 6 Laskar FP…",1131,1342302120712670000
12/25/2020 9:51:00 AM,Pipit?,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,Ultah gue di 2020 ga dirayain anjir gara2 pas banget psbb hari pertama. Kampret bgt,0,1342301870862200000
12/25/2020 9:42:00 AM,"Adisty, asiti, adisity, aristi, aditya, afisti....",<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@tubirfess Ya emang rakyatnya bebal mau gimana. Sok' nyalahin pemerintah ga becus, PSBB is a bullshit, protokol kesehatan cuma hiasan, bro yg langgar ya kan lu pada masyarakat.

Lu merasa pemerintah ga becus ya lu becus lah jadi masyarakat. Gausah lempar' kesalahan si kek bocah njing",0,1342299616549630000
12/25/2020 9:35:00 AM,anang,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"PSBB :
Pernah Seranjang Belum Berjodoh",0,1342297968473330000
